,8,9,10,11
90,12,14,12,12
89,,13,,
88,,,11,11
87,11,,,
86,,12,,
85,,,,
84,,,10,10
83,,,,
82,10,11,,
81,,,,
80,,,9,
79,,10,,9
78,9,,,
77,,,,
76,,,8,
75,,9,,8
74,8,,,
73,,,,
72,,,7,
71,,8,,7
70,7,,,
69,,,,
68,,7,,
67,,,6,6
66,6,,,
65,,,,
64,,6,,
63,,,5,5
62,5,,,
61,,5,,
60,,,,
59,,,4,4
58,,,,
57,4,4,,
56,,,,
55,,,3,3
54,,3,,
53,3,,,
52,,,,
51,,,2,2
50,,2,,
49,2,,,
48,,,,
47,,,1,
46,,1,,1
45,1,,,
44,,,,
43,,0,0,
42,,,,0
41,0,,,
40,,,,
