,8,9,10,11
90,13,11,10,13
89,12,,9,
88,,10,,12
87,,,,
86,,,,
85,11,,,11
84,,9,8,
83,,,,
82,10,,,
81,,,,10
80,,8,,
79,,,7,
78,9,,,9
77,,,,
76,,,,
75,,7,,
74,8,,6,8
73,,,,
72,,,,
71,7,6,,7
70,,,,
69,,,5,
68,,,,
67,6,5,,6
66,,,,
65,,,4,
64,5,,,5
63,,,,
62,,4,,
61,,,,
60,4,,3,4
59,,,,
58,,3,,
57,,,,3
56,3,,,
55,,,2,
54,,2,,
53,2,,,2
52,,,,
51,,,,
50,,,1,1
49,1,1,,
48,,,,
47,,,,
46,,,,0
45,0,0,0,
44,,,,
43,,,,
42,,,,
41,,,,
40,,,,
